,x,y,z
0,-1.01583889,-131.8345263,-65.04892368
1,0.679076364,-132.1400408,-65.04892368
2,2.373991618,-132.1400408,-65.04892368
3,4.068906873,-132.1400408,-65.04892368
4,5.763822127,-132.1400408,-65.04892368
5,7.458737381,-132.1400408,-65.04892368
6,9.153652635,-132.1400408,-65.04892368
7,10.84856789,-132.4121678,-65.04892368
8,12.54348314,-132.4121678,-65.04892368
9,14.2383984,-132.4121678,-65.04892368
10,15.93331365,-132.4121678,-65.04892368
11,17.62822891,-132.3781363,-65.04892368
12,19.32314416,-132.1400408,-65.04892368
13,21.01805942,-132.1400408,-65.04892368
14,22.71297467,-132.1400408,-65.04892368
15,24.40788992,-131.9323735,-65.04892368
16,26.10280518,-131.7791535,-65.04892368
17,27.79772043,-131.7791535,-65.04892368
18,29.49263569,-131.7791535,-65.04892368
19,29.98828836,-131.65918,-65.04892368
20,31.18755094,-131.3416156,-65.04892368
21,32.88246619,-131.1894721,-65.04892368
22,34.57738145,-131.0860455,-65.04892368
23,36.2722967,-130.9402774,-65.04892368
24,37.96721196,-130.8859893,-65.04892368
25,39.66212721,-130.8437568,-65.04892368
26,41.35704247,-130.7677728,-65.04892368
27,43.05195772,-130.7409501,-65.04892368
28,44.74687297,-130.7172526,-65.04892368
29,46.44178823,-130.479666,-65.04892368
30,48.13670348,-130.4451255,-65.04892368
31,49.83161874,-130.0842382,-65.04892368
32,51.52653399,-130.0246772,-65.04892368
33,51.80964567,-129.9642647,-65.04892368
34,53.22144925,-129.6467004,-65.04892368
35,54.9163645,-129.5661815,-65.04892368
36,56.61127975,-129.3911302,-65.04892368
37,58.30619501,-129.3544039,-65.04892368
38,60.00111026,-129.2453621,-65.04892368
39,61.69602552,-129.2453621,-65.04892368
40,63.39094077,-129.1488416,-65.04892368
41,65.08585603,-129.1488416,-65.04892368
42,66.78077128,-129.0903272,-65.04892368
43,68.47568653,-129.0728575,-65.04892368
44,70.17060179,-129.053082,-65.04892368
45,71.86551704,-129.0223373,-65.04892368
46,73.5604323,-128.9883058,-65.04892368
47,75.25534755,-128.7502102,-65.04892368
48,76.9502628,-128.542543,-65.04892368
49,78.64517806,-128.2890578,-65.04892368
50,78.74687297,-128.2693495,-65.04892368
51,80.34009331,-127.9517851,-65.04892368
52,82.03500857,-127.7462452,-65.04892368
53,83.72992382,-127.6394214,-65.04892368
54,85.42483908,-127.5504468,-65.04892368
55,87.11975433,-127.4629734,-65.04892368
56,88.81466958,-127.4153943,-65.04892368
57,90.50958484,-127.3581667,-65.04892368
58,92.20450009,-127.1285196,-65.04892368
59,93.89941535,-126.5941425,-65.04892368
60,93.9585403,-126.5744342,-65.04892368
61,95.5943306,-126.0840108,-65.04892368
62,97.28924586,-125.8555316,-65.04892368
63,98.98416111,-125.7204791,-65.04892368
64,100.6790764,-125.6117021,-65.04892368
65,102.3739916,-125.2357215,-65.04892368
66,103.6239916,-124.8795189,-65.04892368
67,104.0689069,-124.6999917,-65.04892368
68,105.7638221,-124.2495909,-65.04892368
69,107.4587374,-124.0134593,-65.04892368
70,109.1536526,-123.700005,-65.04892368
71,110.291339,-123.1846037,-65.04892368
72,110.8485679,-122.8266662,-65.04892368
73,112.5434831,-122.4264065,-65.04892368
74,114.2383984,-122.0496865,-65.04892368
75,115.1907189,-121.4896884,-65.04892368
76,115.9333137,-120.9448388,-65.04892368
77,117.6282289,-120.5585727,-65.04892368
78,119.1889634,-119.7947732,-65.04892368
79,119.3231442,-119.670351,-65.04892368
80,121.0180594,-118.8862969,-65.04892368
81,122.3737751,-118.0998579,-65.04892368
82,122.7129747,-117.7822936,-65.04892368
83,124.4078899,-117.1363837,-65.04892368
84,125.4086915,-116.4049427,-65.04892368
85,126.1028052,-115.7750146,-65.04892368
86,127.525529,-114.7100274,-65.04892368
87,127.7977204,-114.437836,-65.04892368
88,129.4926357,-113.3369457,-65.04892368
89,129.827767,-113.0151122,-65.04892368
90,131.1875509,-111.75108,-65.04892368
91,131.618434,-111.3201969,-65.04892368
92,132.8824662,-109.9197882,-65.04892368
93,133.1649521,-109.6252817,-65.04892368
94,134.5773814,-108.1121023,-65.04892368
95,134.7552289,-107.9303664,-65.04892368
96,135.6423687,-106.2354512,-65.04892368
97,136.2722967,-105.5169334,-65.04892368
98,136.9843784,-104.5405359,-65.04892368
99,137.9109425,-102.8456206,-65.04892368
100,137.967212,-102.7893512,-65.04892368
101,138.8248723,-101.1507054,-65.04892368
102,139.3041897,-99.45579014,-65.04892368
103,139.6621272,-99.03230381,-65.04892368
104,140.3380719,-97.76087488,-65.04892368
105,140.6260903,-96.06595963,-65.04892368
106,141.300773,-94.37104437,-65.04892368
107,141.3570425,-94.28798937,-65.04892368
108,141.946154,-92.67612912,-65.04892368
109,142.140775,-90.98121386,-65.04892368
110,142.2662753,-89.28629861,-65.04892368
111,142.4614327,-87.59138336,-65.04892368
112,142.7343934,-85.8964681,-65.04892368
113,143.0519577,-84.30324776,-65.04892368
114,143.071666,-84.20155285,-65.04892368
115,143.1719312,-82.50663759,-65.04892368
116,143.4081603,-80.81172234,-65.04892368
117,143.5328185,-79.11680708,-65.04892368
118,143.5328185,-77.42189183,-65.04892368
119,143.5328185,-75.72697658,-65.04892368
120,143.5328185,-74.03206132,-65.04892368
121,143.4935646,-72.33714607,-65.04892368
122,143.1719312,-70.64223081,-65.04892368
123,143.1719312,-68.94731556,-65.04892368
124,143.0519577,-68.38379431,-65.04892368
125,142.7797663,-67.25240031,-65.04892368
126,142.4614327,-65.55748505,-65.04892368
127,142.3092499,-63.8625698,-65.04892368
128,142.2029958,-62.16765454,-65.04892368
129,142.140775,-60.47273929,-65.04892368
130,141.7595801,-58.77782403,-65.04892368
131,141.3570425,-57.82980541,-65.04892368
132,140.9589592,-57.08290878,-65.04892368
133,140.6143347,-55.38799353,-65.04892368
134,140.4530359,-53.69307827,-65.04892368
135,140.0646648,-51.99816302,-65.04892368
136,139.6621272,-51.23328436,-65.04892368
137,139.1172776,-50.30324776,-65.04892368
138,138.8131653,-48.60833251,-65.04892368
139,138.4826133,-46.91341725,-65.04892368
140,137.967212,-45.91721031,-65.04892368
141,137.4975041,-45.218502,-65.04892368
142,137.11825,-43.52358675,-65.04892368
143,136.5454903,-41.82867149,-65.04892368
144,136.2722967,-41.38216156,-65.04892368
145,135.5910487,-40.13375624,-65.04892368
146,135.2206208,-38.43884098,-65.04892368
147,134.5773814,-37.28659849,-65.04892368
148,134.1414932,-36.74392573,-65.04892368
149,133.661211,-35.04901047,-65.04892368
150,132.8824662,-33.69329478,-65.04892368
151,132.5649018,-33.35409522,-65.04892368
152,131.9118007,-31.65917997,-65.04892368
153,131.1875509,-30.48989022,-65.04892368
154,130.717843,-29.96426471,-65.04892368
155,130.2168855,-28.26934946,-65.04892368
156,129.4926357,-27.15679134,-65.04892368
157,128.9695314,-26.5744342,-65.04892368
158,128.4475427,-24.87951895,-65.04892368
159,127.7977204,-23.87958568,-65.04892368
160,127.2245859,-23.1846037,-65.04892368
161,126.7526275,-21.48968844,-65.04892368
162,126.1028052,-20.55048884,-65.04892368
163,125.4728771,-19.79477319,-65.04892368
164,124.7234626,-18.09985793,-65.04892368
165,124.4078899,-17.72029077,-65.04892368
166,123.5360064,-16.40494268,-65.04892368
167,122.7129747,-15.20798843,-65.04892368
168,122.2432668,-14.71002742,-65.04892368
169,121.5128179,-13.01511217,-65.04892368
170,121.0180594,-12.39744506,-65.04892368
171,120.232377,-11.32019692,-65.04892368
172,119.3231442,-9.804808869,-65.04892368
173,119.143617,-9.625281661,-65.04892368
174,118.2916298,-7.930366407,-65.04892368
175,117.6282289,-7.068968914,-65.04892368
176,116.923735,-6.235451153,-65.04892368
177,116.10866,-4.540535898,-65.04892368
178,115.9333137,-4.345395993,-65.04892368
179,114.9504801,-2.845620644,-65.04892368
180,114.2383984,-1.961187955,-65.04892368
181,113.5194958,-1.15070539,-65.04892368
182,112.5434831,0.364682656,-65.04892368
183,112.3639559,0.544209864,-65.04892368
184,111.3905954,2.239125119,-65.04892368
185,110.8485679,2.88589201,-65.04892368
186,110.0524196,3.934040373,-65.04892368
187,109.1536526,5.193067337,-65.04892368
188,108.7177643,5.628955627,-65.04892368
189,107.8216851,7.323870881,-65.04892368
190,107.4587374,7.742280923,-65.04892368
191,106.5701785,9.018786136,-65.04892368
192,105.7638221,10.0510949,-65.04892368
193,105.1338941,10.71370139,-65.04892368
194,104.190655,12.40861664,-65.04892368
195,104.0689069,12.5411465,-65.04892368
196,103.0050845,14.1035319,-65.04892368
197,102.3739916,14.85391234,-65.04892368
198,101.600801,15.79844715,-65.04892368
199,100.6790764,17.05747412,-65.04892368
200,100.2431881,17.49336241,-65.04892368
201,99.34710888,19.18827766,-65.04892368
202,98.98416111,19.59774891,-65.04892368
203,98.05093906,20.88319292,-65.04892368
204,97.28924586,21.83111319,-65.04892368
205,96.60799783,22.57810817,-65.04892368
206,95.5943306,24.14860124,-65.04892368
207,95.46990841,24.27302342,-65.04892368
208,94.44144285,25.96793868,-65.04892368
209,93.89941535,26.59656789,-65.04892368
210,93.04937161,27.66285393,-65.04892368
211,92.20450009,28.80464999,-65.04892368
212,91.68139584,29.35776919,-65.04892368
213,90.82515753,31.05268444,-65.04892368
214,90.50958484,31.40735515,-65.04892368
215,89.56856754,32.74759969,-65.04892368
216,88.81466958,33.71417676,-65.04892368
217,88.15158492,34.44251495,-65.04892368
218,87.13946265,36.1374302,-65.04892368
219,87.11975433,36.15934721,-65.04892368
220,86.05593196,37.83234546,-65.04892368
221,85.42483908,38.5976911,-65.04892368
222,84.66664193,39.52726071,-65.04892368
223,83.72992382,40.90461162,-65.04892368
224,83.41235947,41.22217597,-65.04892368
225,82.52976707,42.91709122,-65.04892368
226,82.03500857,43.49542379,-65.04892368
227,81.17172406,44.61200647,-65.04892368
228,80.34009331,45.78752736,-65.04892368
229,79.84966987,46.30692173,-65.04892368
230,79.00812583,48.00183698,-65.04892368
231,78.64517806,48.42024702,-65.04892368
232,77.75661922,49.69675224,-65.04892368
233,76.9502628,50.78712837,-65.04892368
234,76.37712831,51.39166749,-65.04892368
235,75.53218371,53.08658275,-65.04892368
236,75.25534755,53.39880398,-65.04892368
237,74.31433025,54.781498,-65.04892368
238,73.5604323,55.78229962,-65.04892368
239,72.93050425,56.47641325,-65.04892368
240,72.04336453,58.17132851,-65.04892368
241,71.86551704,58.36646841,-65.04892368
242,70.88268349,59.86624376,-65.04892368
243,70.17060179,60.80811883,-65.04892368
244,69.50751713,61.56115902,-65.04892368
245,68.59566004,63.25607427,-65.04892368
246,68.47568653,63.39014219,-65.04892368
247,67.49285298,64.95098953,-65.04892368
248,66.78077128,65.83542221,-65.04892368
249,66.06186867,66.64590478,-65.04892368
250,65.08585603,68.28455062,-65.04892368
251,65.02958661,68.34082003,-65.04892368
252,64.05857053,70.03573529,-65.04892368
253,63.39094077,70.88234546,-65.04892368
254,62.67203816,71.73065054,-65.04892368
255,61.69602552,73.36929638,-65.04892368
256,61.6397561,73.4255658,-65.04892368
257,60.66874002,75.12048105,-65.04892368
258,60.00111026,75.95478523,-65.04892368
259,59.27015811,76.8153963,-65.04892368
260,58.30619501,78.33078435,-65.04892368
261,58.1266678,78.51031156,-65.04892368
262,57.14715528,80.20522681,-65.04892368
263,56.61127975,80.84233884,-65.04892368
264,55.80490372,81.90014207,-65.04892368
265,54.9163645,83.15916903,-65.04892368
266,54.48047621,83.59505732,-65.04892368
267,53.63134083,85.28997258,-65.04892368
268,53.22144925,85.75996872,-65.04892368
269,52.33289041,86.98488783,-65.04892368
270,51.52653399,88.05744916,-65.04892368
271,50.93600894,88.67980308,-65.04892368
272,50.00946622,90.37471834,-65.04892368
273,49.83161874,90.56985824,-65.04892368
274,48.81219032,92.06963359,-65.04892368
275,48.13670348,92.90393778,-65.04892368
276,47.40575133,93.76454885,-65.04892368
277,46.44178823,95.22593607,-65.04892368
278,46.2082602,95.4594641,-65.04892368
279,45.24741812,97.15437936,-65.04892368
280,44.74687297,97.74467743,-65.04892368
281,43.89682924,98.84929461,-65.04892368
282,43.05195772,99.99109067,-65.04892368
283,42.52885347,100.5442099,-65.04892368
284,41.63387862,102.2391251,-65.04892368
285,41.35704247,102.5513463,-65.04892368
286,40.39131683,103.9340404,-65.04892368
287,39.66212721,104.8571312,-65.04892368
288,38.98087919,105.6289556,-65.04892368
289,37.96721196,107.1994487,-65.04892368
290,37.84278977,107.3238709,-65.04892368
291,36.85402112,109.0187861,-65.04892368
292,36.2722967,109.7083328,-65.04892368
293,35.47614837,110.7137014,-65.04892368
294,34.57738145,111.9389087,-65.04892368
295,34.10767355,112.4086166,-65.04892368
296,33.2000986,114.1035319,-65.04892368
297,32.88246619,114.4531072,-65.04892368
298,31.90916161,115.7984472,-65.04892368
299,31.18755094,116.6586357,-65.04892368
300,30.44484314,117.4933624,-65.04892368
301,29.49263569,118.7901944,-65.04892368
302,29.09455247,119.1882777,-65.04892368
303,28.11535283,120.8831929,-65.04892368
304,27.79772043,121.2327682,-65.04892368
305,26.82441584,122.5781082,-65.04892368
306,26.10280518,123.4382967,-65.04892368
307,25.36009738,124.2730234,-65.04892368
308,24.40788992,125.5698555,-65.04892368
309,24.0098067,125.9679387,-65.04892368
310,23.03060707,127.6628539,-65.04892368
311,22.71297467,128.0124293,-65.04892368
312,21.73967008,129.3577692,-65.04892368
313,21.01805942,130.2179577,-65.04892368
314,20.27535161,131.0526844,-65.04892368
315,19.32314416,132.3495165,-65.04892368
316,18.92506094,132.7475997,-65.04892368
317,17.94586131,134.4425149,-65.04892368
318,17.62822891,134.7920903,-65.04892368
319,16.65492432,136.1374302,-65.04892368
320,15.93331365,136.9819242,-65.04892368
321,15.17511651,137.8323455,-65.04892368
322,14.2383984,138.9824111,-65.04892368
323,13.6935488,139.5272607,-65.04892368
324,12.56350183,141.222176,-65.04892368
325,12.54348314,141.2433624,-65.04892368
326,11.35503665,142.9170912,-65.04892368
327,10.84856789,143.4728914,-65.04892368
328,9.902504906,144.6120065,-65.04892368
329,9.153652635,145.4841486,-65.04892368
330,8.422700482,146.3069217,-65.04892368
331,7.458737381,147.5114135,-65.04892368
332,6.968313933,148.001837,-65.04892368
333,5.825162537,149.6967522,-65.04892368
334,5.763822127,149.7605421,-65.04892368
335,4.489032156,151.3916675,-65.04892368
