,x,y,z
0,49.52475591,-114.8300009,-305.0489237
1,51.21680328,-115.1516343,-305.0489237
2,52.90885066,-115.1908882,-305.0489237
3,54.60089804,-115.1908882,-305.0489237
4,56.29294542,-115.1908882,-305.0489237
5,57.98499279,-115.1908882,-305.0489237
6,59.67704017,-115.2254288,-305.0489237
7,61.36908755,-115.4630153,-305.0489237
8,63.06113493,-115.4630153,-305.0489237
9,64.7531823,-115.4630153,-305.0489237
10,66.44522968,-115.4630153,-305.0489237
11,68.13727706,-115.4630153,-305.0489237
12,69.82932444,-115.4630153,-305.0489237
13,71.52137181,-115.4289838,-305.0489237
14,73.21341919,-115.1908882,-305.0489237
15,74.90546657,-115.1908882,-305.0489237
16,76.59751394,-115.1908882,-305.0489237
17,78.28956132,-115.1908882,-305.0489237
18,79.9816087,-115.112565,-305.0489237
19,81.67365608,-114.8300009,-305.0489237
20,82.42794226,-114.7100274,-305.0489237
21,83.36570345,-114.5305002,-305.0489237
22,85.05775083,-114.3924631,-305.0489237
23,86.74979821,-114.1368929,-305.0489237
24,88.44184559,-114.0800994,-305.0489237
25,90.13389296,-113.9911248,-305.0489237
26,91.82594034,-113.924345,-305.0489237
27,93.51798772,-113.8360899,-305.0489237
28,95.2100351,-113.7747219,-305.0489237
29,96.90208247,-113.5305135,-305.0489237
30,98.59412985,-113.1350857,-305.0489237
31,99.03829229,-113.0151122,-305.0489237
32,100.2861772,-112.6571747,-305.0489237
33,101.9782246,-112.4245871,-305.0489237
34,103.670272,-112.2189638,-305.0489237
35,105.3623194,-112.0557631,-305.0489237
36,107.0543667,-111.5471547,-305.0489237
37,107.5658405,-111.3201969,-305.0489237
38,108.7464141,-110.7970927,-305.0489237
39,110.4384615,-110.5240486,-305.0489237
40,112.1305089,-110.3045329,-305.0489237
41,113.4453866,-109.6252817,-305.0489237
42,113.8225562,-109.3077173,-305.0489237
43,115.5146036,-108.7966281,-305.0489237
44,117.206651,-108.332904,-305.0489237
45,117.8276091,-107.9303664,-305.0489237
46,118.8986984,-107.2491184,-305.0489237
47,120.5907458,-106.5122873,-305.0489237
48,120.884754,-106.2354512,-305.0489237
49,122.2827931,-104.8350424,-305.0489237
50,122.5555245,-104.5405359,-305.0489237
51,123.2029582,-102.8456206,-305.0489237
52,123.9748405,-101.1799281,-305.0489237
53,123.9945155,-101.1507054,-305.0489237
54,124.2858458,-99.45579014,-305.0489237
55,124.4548877,-97.76087488,-305.0489237
56,124.4893698,-96.06595963,-305.0489237
57,124.0351508,-94.37104437,-305.0489237
58,123.9748405,-94.19820611,-305.0489237
59,123.4852469,-92.67612912,-305.0489237
60,123.2179263,-90.98121386,-305.0489237
61,123.0849416,-89.28629861,-305.0489237
62,122.5555245,-87.59138336,-305.0489237
63,122.2827931,-87.11407964,-305.0489237
64,121.6396248,-85.8964681,-305.0489237
65,121.3876127,-84.20155285,-305.0489237
66,120.651056,-82.50663759,-305.0489237
67,120.5907458,-82.40923164,-305.0489237
68,119.8610304,-80.81172234,-305.0489237
69,119.3447317,-79.11680708,-305.0489237
70,118.8986984,-78.42725247,-305.0489237
71,118.2367357,-77.42189183,-305.0489237
72,117.7693417,-75.72697658,-305.0489237
73,117.206651,-74.8465519,-305.0489237
74,116.5978221,-74.03206132,-305.0489237
75,116.1633264,-72.33714607,-305.0489237
76,115.5146036,-71.41306729,-305.0489237
77,114.8714352,-70.64223081,-305.0489237
78,114.2712222,-68.94731556,-305.0489237
79,113.8225562,-68.33534797,-305.0489237
80,113.0811051,-67.25240031,-305.0489237
81,112.4032402,-65.55748505,-305.0489237
82,112.1305089,-65.20853191,-305.0489237
83,111.3164655,-63.8625698,-305.0489237
84,110.4384615,-62.34718175,-305.0489237
85,110.2592381,-62.16765454,-305.0489237
86,109.4521338,-60.47273929,-305.0489237
87,108.7464141,-59.51129956,-305.0489237
88,108.1032457,-58.77782403,-305.0489237
89,107.3694055,-57.08290878,-305.0489237
90,107.0543667,-56.70334162,-305.0489237
91,106.2185285,-55.38799353,-305.0489237
92,105.3623194,-54.09116149,-305.0489237
93,104.9649097,-53.69307827,-305.0489237
94,104.2052408,-51.99816302,-305.0489237
95,103.670272,-51.31495444,-305.0489237
96,102.9133577,-50.30324776,-305.0489237
97,101.9782246,-48.78785972,-305.0489237
98,101.7990012,-48.60833251,-305.0489237
99,100.9416078,-46.91341725,-305.0489237
100,100.2861772,-46.06680708,-305.0489237
101,99.56849103,-45.218502,-305.0489237
102,98.59412985,-43.57985616,-305.0489237
103,98.53795564,-43.52358675,-305.0489237
104,97.57642635,-41.82867149,-305.0489237
105,96.90208247,-41.00632067,-305.0489237
106,96.16063137,-40.13375624,-305.0489237
107,95.2100351,-38.71103244,-305.0489237
108,94.9383042,-38.43884098,-305.0489237
109,94.01190906,-36.74392573,-305.0489237
110,93.51798772,-36.17330426,-305.0489237
111,92.64757948,-35.04901047,-305.0489237
112,91.82594034,-33.97644915,-305.0489237
113,91.23641448,-33.35409522,-305.0489237
114,90.31143952,-31.65917997,-305.0489237
115,90.13389296,-31.46404006,-305.0489237
116,89.11618947,-29.96426471,-305.0489237
117,88.44184559,-29.14191389,-305.0489237
118,87.70039448,-28.26934946,-305.0489237
119,86.74979821,-26.80796223,-305.0489237
120,86.51666532,-26.5744342,-305.0489237
121,85.55744903,-24.87951895,-305.0489237
122,85.05775083,-24.30118638,-305.0489237
123,84.19592704,-23.1846037,-305.0489237
124,83.36570345,-22.06518792,-305.0489237
125,82.82177577,-21.48968844,-305.0489237
126,81.85120264,-19.79477319,-305.0489237
127,81.67365608,-19.60295441,-305.0489237
128,80.60892571,-18.09985793,-305.0489237
129,79.9816087,-17.38221967,-305.0489237
130,79.14205187,-16.40494268,-305.0489237
131,78.28956132,-15.31456655,-305.0489237
132,77.7173966,-14.71002742,-305.0489237
133,76.65875056,-13.01511217,-305.0489237
134,76.59751394,-12.94921725,-305.0489237
135,75.4927163,-11.32019692,-305.0489237
136,74.90546657,-10.6492196,-305.0489237
137,74.05686114,-9.625281661,-305.0489237
138,73.21341919,-8.572492274,-305.0489237
139,72.60459033,-7.930366407,-305.0489237
140,71.54104678,-6.235451153,-305.0489237
141,71.52137181,-6.214264712,-305.0489237
142,70.3704348,-4.540535898,-305.0489237
143,69.82932444,-3.932157281,-305.0489237
144,68.95891619,-2.845620644,-305.0489237
145,68.13727706,-1.827913019,-305.0489237
146,67.49410868,-1.15070539,-305.0489237
147,66.44522968,0.419787676,-305.0489237
148,66.32101802,0.544209864,-305.0489237
149,65.20720786,2.239125119,-305.0489237
150,64.7531823,2.741975162,-305.0489237
151,63.79681746,3.934040373,-305.0489237
152,63.06113493,4.806182524,-305.0489237
153,62.33141958,5.628955627,-305.0489237
154,61.36908755,6.887982591,-305.0489237
155,60.9339368,7.323870881,-305.0489237
156,59.85458673,9.018786136,-305.0489237
157,59.67704017,9.208832363,-305.0489237
158,58.57224253,10.71370139,-305.0489237
159,57.98499279,11.39336872,-305.0489237
160,57.14543596,12.40861664,-305.0489237
161,56.29294542,13.46140603,-305.0489237
162,55.68411656,14.1035319,-305.0489237
163,54.60089804,15.74217773,-305.0489237
164,54.54472383,15.79844715,-305.0489237
165,53.40854886,17.49336241,-305.0489237
166,52.90885066,18.04916254,-305.0489237
167,51.98918726,19.18827766,-305.0489237
168,51.21680328,20.11241446,-305.0489237
169,50.51350138,20.88319292,-305.0489237
170,49.52475591,22.22017066,-305.0489237
171,49.16742405,22.57810817,-305.0489237
172,48.11093109,24.27302342,-305.0489237
173,47.83270853,24.57008449,-305.0489237
174,46.76797817,25.96793868,-305.0489237
175,46.14066115,26.68557694,-305.0489237
176,45.30110432,27.66285393,-305.0489237
177,44.44861378,28.71564332,-305.0489237
178,43.83978492,29.35776919,-305.0489237
179,42.7565664,30.92826225,-305.0489237
180,42.63235474,31.05268444,-305.0489237
181,41.51854458,32.74759969,-305.0489237
182,41.06451902,33.25044974,-305.0489237
183,40.10815418,34.44251495,-305.0489237
184,39.37247164,35.32694764,-305.0489237
185,38.65478545,36.1374302,-305.0489237
186,37.68042427,37.43426224,-305.0489237
187,37.28301462,37.83234546,-305.0489237
188,36.30547184,39.52726071,-305.0489237
189,35.98837689,39.8704874,-305.0489237
190,34.97067339,41.22217597,-305.0489237
191,34.29632951,42.01377033,-305.0489237
192,33.52444715,42.91709122,-305.0489237
193,32.60428213,44.14229858,-305.0489237
194,32.135369,44.61200647,-305.0489237
195,31.1886025,46.30692173,-305.0489237
196,30.91223476,46.60876017,-305.0489237
197,29.89453126,48.00183698,-305.0489237
198,29.22018738,48.79343134,-305.0489237
199,28.44830502,49.69675224,-305.0489237
