,x,y,z
0,79.9816087,-153.8876477,-185.0489237
1,81.67365608,-154.1203274,-185.0489237
2,83.36570345,-154.2431126,-185.0489237
3,85.05775083,-154.2431126,-185.0489237
4,86.74979821,-154.2431126,-185.0489237
5,88.44184559,-154.2431126,-185.0489237
6,90.13389296,-154.2431126,-185.0489237
7,91.82594034,-154.2431126,-185.0489237
8,93.51798772,-154.3497369,-185.0489237
9,95.2100351,-154.511151,-185.0489237
10,96.90208247,-154.511151,-185.0489237
11,98.59412985,-154.511151,-185.0489237
12,100.2861772,-154.511151,-185.0489237
13,101.9782246,-154.4776308,-185.0489237
14,103.670272,-154.2431126,-185.0489237
15,105.3623194,-154.2431126,-185.0489237
16,107.0543667,-154.2431126,-185.0489237
17,108.7464141,-154.0385656,-185.0489237
18,110.4384615,-153.8876477,-185.0489237
19,112.1305089,-153.8876477,-185.0489237
20,113.8225562,-153.788889,-185.0489237
21,113.9240791,-153.7694768,-185.0489237
22,115.5146036,-153.4566839,-185.0489237
23,117.206651,-153.4566839,-185.0489237
24,118.8986984,-153.2049537,-185.0489237
25,120.5907458,-153.0984645,-185.0489237
26,122.2827931,-153.0079034,-185.0489237
27,123.9748405,-152.9448017,-185.0489237
28,125.6668879,-152.891463,-185.0489237
29,127.3589353,-152.8417019,-185.0489237
30,129.0509826,-152.645788,-185.0489237
31,130.74303,-152.4068793,-185.0489237
32,132.4350774,-152.1194399,-185.0489237
33,132.49763,-152.1000277,-185.0489237
34,134.1271248,-151.6373772,-185.0489237
35,135.8191722,-151.3919266,-185.0489237
36,137.5112195,-151.2589033,-185.0489237
37,139.2032669,-151.1517607,-185.0489237
38,140.8953143,-150.7814292,-185.0489237
39,142.0385098,-150.4305786,-185.0489237
40,142.5873617,-150.2005594,-185.0489237
41,144.279409,-149.8101153,-185.0489237
42,145.9714564,-149.6567011,-185.0489237
43,147.6635038,-149.5330864,-185.0489237
44,149.3555512,-149.0679812,-185.0489237
45,150.0722454,-148.7611295,-185.0489237
46,151.0475985,-148.298479,-185.0489237
47,152.7396459,-147.987252,-185.0489237
48,154.4316933,-147.757469,-185.0489237
49,155.7984272,-147.0916805,-185.0489237
50,156.1237407,-146.8235787,-185.0489237
51,157.8157881,-146.3448753,-185.0489237
52,159.5078354,-146.0121895,-185.0489237
53,160.5211246,-145.4222314,-185.0489237
54,161.1998828,-144.9069868,-185.0489237
55,162.8919302,-144.5051057,-185.0489237
56,164.1218851,-143.7527823,-185.0489237
57,164.5839776,-143.3234432,-185.0489237
58,166.2760249,-142.7300101,-185.0489237
59,167.1599479,-142.0833332,-185.0489237
60,167.9680723,-141.412321,-185.0489237
61,169.535908,-140.4138841,-185.0489237
62,169.6601197,-140.2913314,-185.0489237
63,171.3521671,-138.9234404,-185.0489237
64,171.5335955,-138.7444351,-185.0489237
65,172.864991,-137.074986,-185.0489237
66,173.0442145,-136.8981562,-185.0489237
67,173.8560865,-135.4055369,-185.0489237
68,174.4192348,-133.7360878,-185.0489237
69,174.7362618,-133.3808055,-185.0489237
70,175.4592861,-132.0666387,-185.0489237
71,175.710623,-130.3971896,-185.0489237
72,175.8561445,-128.7277406,-185.0489237
73,176.1112822,-127.0582915,-185.0489237
74,176.4283092,-125.8770479,-185.0489237
75,176.5480797,-125.3888424,-185.0489237
76,176.9083564,-123.7193933,-185.0489237
77,176.9083564,-122.0499442,-185.0489237
78,176.8301657,-120.3804952,-185.0489237
79,176.5480797,-118.7110461,-185.0489237
80,176.4283092,-117.4838352,-185.0489237
81,176.372135,-117.041597,-185.0489237
82,176.1112822,-115.3721479,-185.0489237
83,175.9387156,-113.7026988,-185.0489237
84,175.7851408,-112.0332497,-185.0489237
85,175.6010578,-110.3638007,-185.0489237
86,175.5047231,-108.6943516,-185.0489237
87,175.0472671,-107.0249025,-185.0489237
88,174.7362618,-106.1689372,-185.0489237
89,174.37893,-105.3554534,-185.0489237
90,174.0742991,-103.6860043,-185.0489237
91,173.8837517,-102.0165553,-185.0489237
92,173.7125089,-100.3471062,-185.0489237
93,173.0442145,-98.89211026,-185.0489237
94,172.864991,-98.67765709,-185.0489237
95,172.3265283,-97.00820801,-185.0489237
96,172.1003161,-95.33875893,-185.0489237
97,171.5272167,-93.66930984,-185.0489237
98,171.3521671,-93.32817415,-185.0489237
99,170.7433382,-91.99986076,-185.0489237
100,170.4719918,-90.33041168,-185.0489237
101,170.1009794,-88.6609626,-185.0489237
102,169.6601197,-87.83154595,-185.0489237
103,169.1379006,-86.99151352,-185.0489237
104,168.7955255,-85.32206443,-185.0489237
105,168.2408036,-83.65261535,-185.0489237
106,167.9680723,-83.19815421,-185.0489237
107,167.3061096,-81.98316627,-185.0489237
108,166.9920099,-80.31371719,-185.0489237
109,166.2760249,-78.84789031,-185.0489237
110,166.0968015,-78.64426811,-185.0489237
111,165.4916719,-76.97481903,-185.0489237
112,165.143028,-75.30536994,-185.0489237
113,164.5839776,-74.30579891,-185.0489237
114,164.0943839,-73.63592086,-185.0489237
115,163.7115188,-71.96647178,-185.0489237
116,162.9116052,-70.2970227,-185.0489237
117,162.8919302,-70.26906653,-185.0489237
118,162.1075772,-68.62757362,-185.0489237
119,161.6017393,-66.95812453,-185.0489237
120,161.1998828,-66.32799031,-185.0489237
121,160.5379201,-65.28867545,-185.0489237
122,160.1499864,-63.61922637,-185.0489237
123,159.5078354,-62.52200293,-185.0489237
124,159.0389223,-61.94977729,-185.0489237
125,158.6276601,-60.28032821,-185.0489237
126,157.8157881,-58.66630309,-185.0489237
127,157.7596138,-58.61087913,-185.0489237
128,157.0017446,-56.94143004,-185.0489237
129,156.3503144,-55.27198096,-185.0489237
130,156.1237407,-54.95919479,-185.0489237
131,155.3518583,-53.60253188,-185.0489237
132,154.7426986,-51.9330828,-185.0489237
133,154.4316933,-51.48087472,-185.0489237
134,153.701978,-50.26363372,-185.0489237
135,153.1856792,-48.59418463,-185.0489237
136,152.7396459,-47.96918463,-185.0489237
137,152.0219597,-46.92473555,-185.0489237
138,151.6096478,-45.25528647,-185.0489237
139,151.0475985,-44.42441941,-185.0489237
140,150.4044302,-43.58583739,-185.0489237
141,149.9182418,-41.91638831,-185.0489237
142,149.3555512,-41.08552124,-185.0489237
143,148.7123828,-40.24693923,-185.0489237
144,148.2261944,-38.57749014,-185.0489237
145,147.6635038,-37.74662308,-185.0489237
146,147.0203354,-36.90804106,-185.0489237
147,146.5335057,-35.23859198,-185.0489237
148,145.9714564,-34.44594767,-185.0489237
149,145.2913611,-33.5691429,-185.0489237
150,144.7254424,-31.89969382,-185.0489237
151,144.279409,-31.27469382,-185.0489237
152,143.5617228,-30.23024474,-185.0489237
153,143.033395,-28.56079565,-185.0489237
154,142.5873617,-27.93579565,-185.0489237
155,141.8696755,-26.89134657,-185.0489237
156,141.2553752,-25.22189749,-185.0489237
157,140.8953143,-24.76593645,-185.0489237
158,140.1005131,-23.55244841,-185.0489237
159,139.3230374,-21.88299933,-185.0489237
160,139.2032669,-21.73977729,-185.0489237
161,138.3507567,-20.21355024,-185.0489237
162,137.5112195,-18.81220293,-185.0489237
163,137.2394886,-18.54410116,-185.0489237
164,136.5545782,-16.87465208,-185.0489237
165,135.8191722,-15.74467847,-185.0489237
166,135.3295785,-15.205203,-185.0489237
167,134.7758476,-13.53575392,-185.0489237
168,134.1271248,-12.61066583,-185.0489237
169,133.4982626,-11.86630484,-185.0489237
170,132.8837433,-10.19685575,-185.0489237
171,132.4350774,-9.594082999,-185.0489237
172,131.6936263,-8.527406672,-185.0489237
173,130.9180797,-6.85795759,-185.0489237
174,130.74303,-6.650181174,-185.0489237
175,129.8559747,-5.188508508,-185.0489237
176,129.0509826,-3.894887759,-185.0489237
177,128.6936508,-3.519059426,-185.0489237
178,128.0143658,-1.849610345,-185.0489237
179,127.3589353,-0.924522261,-185.0489237
180,126.7300731,-0.180161263,-185.0489237
181,126.0736091,1.489287819,-185.0489237
182,125.6668879,1.999272409,-185.0489237
183,124.8720867,3.158736901,-185.0489237
184,123.9945155,4.828185983,-185.0489237
185,123.9748405,4.850544676,-185.0489237
186,123.0277911,6.497635065,-185.0489237
187,122.2827931,7.570885403,-185.0489237
188,121.7388654,8.167084146,-185.0489237
189,121.0796159,9.836533228,-185.0489237
190,120.5907458,10.44491987,-185.0489237
191,119.8063927,11.50598231,-185.0489237
192,118.8986984,13.05287865,-185.0489237
193,118.7744867,13.17543139,-185.0489237
194,117.9420571,14.84488047,-185.0489237
195,117.206651,15.8709852,-185.0489237
196,116.6171251,16.51432956,-185.0489237
197,115.9213249,18.18377864,-185.0489237
198,115.5146036,18.68522893,-185.0489237
199,114.709592,19.85322772,-185.0489237
200,113.8225562,21.29265754,-185.0489237
201,113.5894234,21.5226768,-185.0489237
202,112.7859394,23.19212588,-185.0489237
203,112.1305089,24.0260157,-185.0489237
204,111.4128227,24.86157496,-185.0489237
205,110.558232,26.53102405,-185.0489237
206,110.4384615,26.66590623,-185.0489237
207,109.4914121,28.20047313,-185.0489237
208,108.7464141,29.20674416,-185.0489237
209,108.1375853,29.86992221,-185.0489237
210,107.3694055,31.53937129,-185.0489237
211,107.0543667,31.90528012,-185.0489237
212,106.1722858,33.20882037,-185.0489237
213,105.3623194,34.366679,-185.0489237
214,104.8727257,34.87826946,-185.0489237
215,104.1641933,36.54771854,-185.0489237
216,103.670272,37.12914736,-185.0489237
217,102.8562286,38.21716762,-185.0489237
218,101.9782246,39.45727765,-185.0489237
219,101.5430739,39.8866167,-185.0489237
220,100.7800986,41.55606578,-185.0489237
221,100.2861772,42.1374946,-185.0489237
222,99.47213382,43.22551486,-185.0489237
223,98.59412985,44.4656249,-185.0489237
224,98.1589791,44.89496395,-185.0489237
225,97.39600382,46.56441303,-185.0489237
226,96.90208247,47.14584185,-185.0489237
227,96.08803906,48.23386211,-185.0489237
228,95.2100351,49.47397214,-185.0489237
229,94.77488435,49.90331119,-185.0489237
230,94.01190906,51.57276027,-185.0489237
231,93.51798772,52.14240337,-185.0489237
232,92.65616393,53.24220935,-185.0489237
233,91.82594034,54.40006799,-185.0489237
234,91.33634671,54.91165844,-185.0489237
235,90.44893169,56.58110752,-185.0489237
236,90.13389296,56.94366066,-185.0489237
237,89.21422956,58.2505566,-185.0489237
238,88.44184559,59.23632113,-185.0489237
239,87.81298341,59.92000568,-185.0489237
240,86.8713403,61.58945476,-185.0489237
241,86.74979821,61.72150831,-185.0489237
242,85.73209471,63.25890385,-185.0489237
243,85.05775083,64.06889881,-185.0489237
244,84.31629973,64.92835293,-185.0489237
245,83.36570345,66.20570001,-185.0489237
246,82.96829381,66.59780201,-185.0489237
247,82.0406224,68.26725109,-185.0489237
248,81.67365608,68.67057002,-185.0489237
249,80.74201309,69.93670017,-185.0489237
250,79.9816087,70.8703779,-185.0489237
251,79.30151338,71.60614925,-185.0489237
252,78.28956132,73.09876853,-185.0489237
253,78.11033788,73.27559834,-185.0489237
254,77.0515395,74.94504742,-185.0489237
255,76.59751394,75.44034212,-185.0489237
256,75.6411491,76.6144965,-185.0489237
257,74.90546657,77.48564055,-185.0489237
258,74.18778037,78.28394558,-185.0489237
259,73.21341919,79.56129266,-185.0489237
260,72.81600955,79.95339466,-185.0489237
261,71.79773955,81.62284375,-185.0489237
262,71.52137181,81.92014705,-185.0489237
263,70.46430962,83.29229283,-185.0489237
264,69.82932444,83.99914855,-185.0489237
265,68.9897676,84.96174191,-185.0489237
266,68.13727706,85.96415843,-185.0489237
267,67.49410868,86.63119099,-185.0489237
268,66.44522968,87.94808059,-185.0489237
269,66.08789782,88.30064007,-185.0489237
270,64.93072886,89.97008915,-185.0489237
271,64.7531823,90.15727993,-185.0489237
